僕は運命って言葉が嫌いだ	我很讨厌“命运”这样的词语
だから ひまりを	所以 请你救救阳毬
君	我说你啊
医者は神様じゃないんだよ	医生也不是神啊
神様なんていないんだろう	神根本就不存在啊
ご馳走様	谢谢招待
ああ 食った 食った	啊啊 吃饱了 吃饱了
おい 行儀悪いぞ	喂 这举止很不雅哦
いいんだもん	有什么关系嘛
今日はひまりデーなんだから	今天是阳毬之日嘛
ひまりデー	阳毬之日?
そう 晶ちゃんは今日一日はひまりの好きなことなんでもやっていいって	嗯 小晶说今天阳毬喜欢做什么都行的
だから 今日はひまりデー	所以 今天是阳毬之日
だからさ リンゴは宇宙その物なんだよ	所以说呢 苹果就是宇宙本身哦
掌に乗る宇宙	寄宿与手掌之中的宇宙
この世界があちの世界を繋ぐものだよ	就是连接这边世界是跟那边的世界的东西
あちの世界	那边的世界
カンバネルラや他の乗客が向かってる世界だよ	康佩内拉 和其他乘客要去的世界
それとリンゴに何の関係があるだ	那跟苹果有什么关系?
つまり リンゴは愛による死を自ら選択したものへのご褒美でもあるだよ	也就是说 苹果是对那些为了爱选择死亡的人的奖励
でも 死んだら 全部おしまいじゃ	但是 死了就一切都完了吧
おしまいじゃないよ むしろそこから始まるって賢治は言いたいだ	不是完了哦 倒不如说那才是开始  贤治想表达的是这个
全然わかんねぇよ	完全不明白啊
愛の話なんだよ	是关于爱的话题啊
なんで分かんないかな	为什么不明白呢
冠じゃん	小冠
うん	嗯
晶ちゃん	小晶
ええ	嗯?
幸せだね	我们好幸福呢
そうだな	对啊
ひまりがいて 晶馬がいて	阳毬在身边 晶马也在身边
こんな家が有って	有着这样的一个家
そういうのは幸せっていうんだよな	这就是所谓的幸福吧
ね 冠ちゃん	呐 小冠
あの水族館 まだペンギンいるかな	不知道那个水族馆里 还有没有企鹅在呢
ラッコ ラッコ ラッコ ラッコ	海獭 海獭 海獭 海獭
なんに	怎么了
やって ラッコの物真似	一起来吧 模仿海獭的样子
前に家族で水族館へ行った時	以前一家人去水族馆的时候
帰ってから冠ちゃんラッコ ラッコってお腹に蜜柑のけって	回来的时候小冠一边"海獭 海獭"地吃着橘子
あれはがき頃の話だろう	那是小孩子时候的事情吧
楽しかったな あの頃は	真开心啊 那时候
おい 晶馬	喂 晶马
お前のタツノオトシゴの物真似も傑作だったよな	你那个模仿海马也算是杰作呢
タツノオトシゴ タツノオトシゴ タツノオトシゴ タツノオトシゴ タツノオトシゴ	海马 海马 海马 海马 海马
凄い	好厉害
ペンギンって 泳ぐの上手だね	企鹅 很擅长游泳呢
うん 陸ではちょっと間が抜けているのにね	嗯 不过在陆地上显得有点笨笨的呢
晶馬に言われちゃ ペンギンもイラとするな	被晶马这么说 企鹅也会火大吧
なんだよ それ	什么啊 那是
悪い ちょっと 俺電話	不好意思 等我一下 有电话
また女のか 程々にね	又是女人? 你也该适可而止吧
大丈夫だよ うまくやってるから	不用担心 我一直处理得很好的
いやだいやだ	真讨厌
女にルーズなバッチ 冠葉菌が移っちゃいそうだ	搞不好自己都会被对男女关系不检点的冠叶菌感染似地
ママ 見て ペンギン	妈妈 快看 企鹅
ほら 大声出さない	好了 别发出那么大的声音
ペンギンは飛んで逃げたりしないよ	企鹅是不会飞走的
だって	但是
おら ペンギンさんだ	你看 是企鹅
大きいな	好大呢
本当ね	真的呢
ひまり お土産買えに行こう	阳毬 去买特产吧
今日はひまりの欲しいもの何でもプレゼントするよ	今天阳毬想要什么我都会当做礼物送给你的
本当	真的?
そうか 今日はひまりデーだもんね	是啊 因为今天是阳毬之日嘛
どうしたの	怎么了?
いいや 気のせいだった	没什么 错觉而已
ああ これ凄い	啊啊 这个好厉害
このラッコなんか本物っぽくて可愛い	这个海獭跟真的一样好可爱
でもラッコなら 冠ちゃんがいるから いいか	不过海獭的话有小冠在 算了
家で物真似してもらえば いいんだし	在家里模仿给我看的话就可以了
今更やるかな	现在他还会学给你看么
してもらうもん	会学给我看的
だって 今日はひまりデーでしょう	因为 今天是阳毬之日嘛
で 晶ちゃんはタツノオトシゴね	那 小晶就学海马吧
ねえ 僕もやるの	啊 我也要?
そうよう	对哦
だって 今日は私が女王様	因为 今天我就是女王
でしょう	没错吧?
ひまり それ	阳毬 那个
いい 妹可愛い	好萌 我的妹妹好萌
でしょう	是吧
リボンは何色になさいますか	丝带要用什么颜色的呢?
ええと じゃ ピンクで	嗯 那 就用粉红色的吧
かしこまりました 少々御待ちください	明白了 请稍侯
何だ 探したっだぞ	怎么搞的 找了你们好久
兄貴が遅いからだろう	是因为哥哥你太慢了吧
で ひまりは	那 阳毬呢?
ええ あれ	咦 奇怪
なんで ちゃんと見てねんだよ	为什么没有好好地看着她啊
先まで一緒だっただけど	就刚刚还在一起来着
おい 誰か救急車を	喂 谁帮忙叫一下救护车
広場で女の子が	在广场里有个女孩子
おい 早く救急車	喂 快点叫救护车
ひまり ひまり	阳毬 阳毬
ひまり	阳毬
エピネフリン一抽 アトロピン一抽	{\an8}Atropine 阿托品 术前常规麻醉用药
冠ちゃん	肾上腺素一支 阿托品一支
晶ちゃん	小冠
さよなら	小晶
ひまりどうして こんな急に	永别了
あの医者まんざらやぶでもなかったらしいな	阳毬为什么 这么突然
生きて歩いても不思議だって	那个医生或许并不是个庸医呢
何時でもその時が来る覚悟しておけって言ってたな	仅仅是活着已经很不思议了
これがひまりの運命だったんだ	那一天随时回来做好觉悟 他是这么说的吧
苦しまずに しかも思い出の場所で行けたんだ	这就是阳毬的命运啊
むしろ幸せの最後だ	毫无痛苦 而且还去了充满回忆的地方
とりあえず 池辺のおじさんに連絡しないとな	倒不如说这是个幸福的最后
俺たちじゃ手続きとか いろいろ出来ねぇし	总是 得和池边叔叔联络
馬鹿野郎	各种手续我们两个人也不能一一办好
よくも自分の妹に	你这个混蛋
僕たちの妹にそうな冷たいことが言えるな	竟然对自己的妹妹
俺はただ事実はありのままに受け止めているだけだ	对我们的妹妹说出这样冷漠的话
何が事実だ	我只是理所当然地接受了这个事实而已
どうしてひまりなんだよ	什么事实啊！
家族で朝ご飯を食べられるだけで幸せって言うの子だったのに	为什么是阳毬啊
どうして	明明是个仅仅是一家人能够一起吃早饭就觉得很幸福的孩子
多分それが俺たちにかせられた罰だからさ	为什么
生存 戦略	大概那就是我们必须承担的惩罚
て て	生存 战略
何だ	好痛 痛…
わらわはお前たちの運命のいたる場所から来た	怎么了
喜べ	吾从你们命运之地而来
わらわはこの娘の余命を些か伸ばしてやることにした	高兴吧
もし このまま この娘を活かしておきたくば	吾将这个小女孩的生命稍稍延长了
あれ	如果 就这样想让这个小女孩继续活下去的话
晶ちゃん 冠ちゃん	咦
ここ 何処なの	小晶 小冠
私どかしちゃったの	这里 是哪里?
ひまり	我发生什么了
よかった	阳毬
ひまり 生きてるんだね	太好了
よかった	阳毬 还活着呢
どうしたの 晶ちゃん	太好了
嫌だ 泣いてるの	太好了 小晶
大げさだよな	讨厌 你在哭么
だよな	太夸张了点吧
可笑しいよな	也是呢
ねいねい 私どうしちゃってたの	很奇怪吧
ここ病院なの	那个 我到底怎么了
おお そうだ	这里是医院吗?
鷲塚先生に知らせないと	嗯 是的
ちょっと待てて すぐ戻るから	必须让鷲塚医生知道
晶ちゃん	等我一下 马上就回来
よーし	小晶
いただきます	好了
うん 本当だ	我开动了
この卵焼き美味しい	啊 真的呢
ね 晶ちゃん	这个鸡蛋卷真好吃
今度ひまりにも作り方教えて	那个 小晶
うん そんなことなら 何時でも	下次也教我做这个吧
アア 今日の味噌汁いけるな	嗯 这种小事的话 随时都可以
これから私も家の事分担するからね	啊啊 今天的味增汤也很好喝啊
晶ちゃん 一人じゃ大変だもん	从此以后我也帮忙分担一下家务了
俺だって やってるよ	只有小晶一个人太辛苦了
兄貴がするのは風呂掃除ぐらいだろう	我也有在帮忙的啊
御代わり	哥哥做的只有打扫浴室之类的吧
おい 大丈夫か	再来一碗
うん もう全然平気	喂 吃那么多没问题么
先生も出来ることをどんどんしなさいって	嗯 已经完全没事了
そのうち学校にも戻れるかな	医生也跟我说力所能及的事情就尽管做吧
驚きの鹫塚先生 彼はその医療人生最も驚くべき現象を目撃した	再过几天就可以回学校了呢
信じられない	震惊的鹫冢医生 他见到了他的从医生涯中最让人难以置信的现象
あの状態からここまで回復出来るとは	难以置信
しかも それが安定している	居然能在那个状态恢复成这个样子
これは正に奇跡と言っていい	而且 那之后还很稳定地逐渐康复
はい	这毫无疑问是一个奇迹
こんな朝っぱらから宅配かよ	来了
誰から	这么大清早的就有包裹送到?
差出人は書いてない	是谁送的?
クール便でことは生物か	没有写送信人
何	冷藏包裹…里面的是生物?
なすびかな	这是什么
にしても大きいんじゃねいか	是茄子么
凍ってる	要说是茄子的话也太大了吧
晶馬 時間	冻得硬硬的
やっべ	晶马 时间
じゃ ひまりの事を頼んだよ	糟了
行ってきます	那么 阳毬就拜托你了
慌ただしいやつ	我出门了
さて これをどうするか	慌慌张张的家伙
冷蔵庫に入らないんじゃない	那么 这个要怎么处理呢
そう ぼくはただの好運だと思っていた	冰箱是放不下吧
理不尽で残酷な神様がほんのちょっと気まぐれ起こして	对 我觉得这仅仅是好运
僕らの運命に奇跡を齎してくれたんだと	蛮不讲理又残酷的神明一时的心血来潮
こんな僕たちでも幸せになる権利があるのだと	为我们的命运带来的奇迹而已
おい 高倉弟	像这样的我们也能有获得幸福的权利
お茶でもどう	喂 高仓弟弟
バイトのすげぇ可愛い子見つけたんだよ	去喝点茶怎么样啊?
御免 今日は急ぐから	那里有个超可爱的打工的女孩子哦
ほら～ お前え冷たいな	不好意思 今天要赶时间
じゃれるなよ	啊~你真冷淡啊
忙しいの ね 二子の兄なら 乗ってくるのに	别闹了
冠叶と一緒にするな	很忙么? 你哥哥的话 明明马上就会跟我去的
おや あれは桜花女子だ	别吧我和冠叶混为一谈
なあ 見たか あの真ん中の子	喔呀 那是樱花学校的女孩子
あれはなかなか	呐 看到了吗 那个在中间的女孩
振り向いた	那个相当不错吧
こち見て見て いやいや	转过头来了
俺のこと見てる なんでせつない	看看这边 不是不是
ね お茶する	在看着我哟 真郁闷啊
そうね 何処行く	要一起去喝茶么
おお 隣のショートの子もいける	好啊 去哪里?
そう思うだの 高倉弟	喔喔 旁边的短发女孩也不错
あれ 定期がない	你也这么想的吧 高仓弟弟
あれ ア やっべい	呃 定期车票不见了
体育で着替えた時に	呃 啊 糟糕
ロッカだ	换体育服的时候
ペンギン	放在柜子里了
僕の定期	企鹅
あれ いない	我的车票
売り切れ	呃 不见了
遅かったか	卖完了
高	来迟了
降ってきちゃったか	好贵
傘 僕に	下起雨来了啊
あの つかぬ事を伺いしますが	伞 要给我?
このペンギン 何でしょかね	那个 不好意思问一下
ママ あのお兄ちゃん何言ってるの	这只企鹅到底是什么啊
シイ 見ちゃだめ 早く来なさい	妈妈 那个哥哥在说什么呢
他の人には見えてない	嘘…不要看 快点过来
帰ったか	其他人看不到
ただいま	回来了啊
なんだ 濡れてるな	我回来了
変なことがあってさ	怎么了 完全湿透了呢
傘持ってたのに 合えなかったのか	碰到奇怪的事情了
合えなかった？	明明送了伞去的 没有碰到吗?
これは	碰到什么?
ああ 凄い	这是
そうか そこに糸を潜らせるんだ	啊啊 好厉害
いったい 何が	原来是这样啊 从那里穿过去啊
どういう事だよ	到底 发生了什么
見てのとおりだよ	这是怎么回事
宅配の解凍したら こいつらだった	如你所见
こちの言ってることは分かるみたいだし	把包裹解冻之后 就变成这些家伙了
走るぐらいにはなるだろう	好像能明白我们说的话
どうだか	至少能当个跑腿的吧
って言うか 可笑しいだろ この状況は	到底怎么回事
だって こいつら	话说回来 很奇怪吧 这个状况
ああ  俺たち以外には見えない	因为 这群家伙
生存戦略	是呢 除了我们其他人都看不见
Welcome to Rock'n Roll Night	生存战略
Welcome to Rock'n Roll Fight	Welcome to Rock'n Roll Night
I'm just a Rock'n Roll Man	Welcome to Rock'n Roll Night
We're just a Rock'n Roll BAND	I'm just a Rock'n Roll Man
俺たちは道なりに 歩き続けてきた	We're just a Rock'n Roll BAND
標識だらけの道を飛ばし続けていく	我们沿着自己的路 一路走来
幾つもの町を抜け 歌い続けてきた	在充满标记的道路上飞驰着
腑抜け野郎共を煽り続けていく	穿越无数城镇 唱着歌一路走来
長い長い冬が溶けても風が吹く	以强大的气势吹飞懦夫一路走来
今も今も激しく風が吹く	漫长的冬天已成过去 风依旧吹着
きっと何者にもなれない君たちに告げる	即使现在 风依旧狂烈地吹着
あれ あれ	我要话要告诉你们这些一事无成的家伙
ピングドラムを手に入れるのだ	呃 呃
何言ってるだよ ひまり	你们必须得到企鹅罐
妹ではない わらわはお前たちの運命のいたる場所から来た	你在说什么啊 阳毬
帽子だ	吾不是你们的妹妹吾来自于你们的命运之地
ええ	是帽子
あの帽子がひまりを操ってるんだ	呃？
そんな あれは水族館で買った玩具だよ	那个帽子在操纵着阳毬
いま この娘はわらわの力で一時的に余命を伸ばしている	怎么可能 那只是在水族馆买的玩具而已啊
しかし この世に無条のものなどない	现在 这个小女孩是靠着吾的力量暂时延长了性命
その命の代償	但是 这个世界上并不存在不劳而获的事情
いただくぞ	作为延长她生命的代价
待ってよ 代償とか 可笑しくねねねね	我要收下了
生存戦略 しましょうか	等一下 代价什么的 不可笑吗……………
人は何のために生まれるのか	生存战略 要开始了
齷齪毎日を過ごすためだけに人が作られたんだとしたら	人到底是为了什么而来到这世上的呢
それは何かの罰なのか	如果仅仅是为了龌鹾地过着每一日的话
それでも皮肉のジョークなのか	那该说是是某种惩罚呢
そんなじゃ	或者说是某种讽刺的笑话呢
遺伝子にプログラムされた生存戦略に忠実な動物方がよっぽとシンプルで美しい	这样的话
もしこの世界に神様と呼べるものがいるのなら	被基因所规划而忠实于生存战略的动物反而更单纯而美丽
そいつの一つだけ聞きたい	如果这世上有所谓的神存在的话
人の世界で運命は本当にあるのか	我想问他一个问题
ひまり だめだよ	人的世界里面真的有命运存在吗?
目を覚ませ	阳毬 不能这样
お前が操られてるな	醒一醒
帽子がお前を変えちゃたんだ	你只是被操纵着而已
もし 人が運命を無視してる	帽子把你改变了
本能も遺伝子の命令も無視している誰かを愛したとしたら	如果 人无视命运
神様 そいつは本当に人なのか	无视本能与基因的命令去爱上别人的话
なんでね	神啊 那家伙还算是人么
俺は運命って言葉が嫌いだ	开玩笑而已
私は運命って言葉が好き	我讨厌"命运"这个词语
無駄なことなんて一つもないよ	我喜欢“命运”这个词
私は運命を信じている	没有什么是毫无价值的
